x,y,prop_difference,probability,department
w_n_central,w_s_central,-0.02,27.80%,physics
w_s_central,e_n_central,-0.02,26.50%,physics
w_s_central,e_s_central,0.02,70.00%,physics
w_s_central,mid_atlantic,0.01,60.40%,physics
w_s_central,mountain,0.02,67.90%,physics
w_s_central,new_england,-0.01,40.50%,physics
w_s_central,pacific,0.004,54.20%,physics
w_s_central,s_atlantic,0.02,72.90%,physics
w_s_central,w_n_central,0.02,72.20%,physics
w_s_central,w_s_central,0,na,physics
